study,reader_or_comparator,condition,question,stratum,n,metric,value,evidence_status
II,luna,C11,prior_external,all,64,D,50,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,A,0,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,U,6,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,W,50,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,G,48,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,D,48,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,U,6,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,W,48,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,luna,C11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,luna,C11,basis_relation,mapping_required,28,G,19,verified_from_saved_artifacts
II,luna,C11,basis_relation,mapping_required,28,D,19,verified_from_saved_artifacts
II,luna,C11,basis_relation,mapping_required,28,A,0,verified_from_saved_artifacts
II,luna,C11,basis_relation,mapping_required,28,U,5,verified_from_saved_artifacts
II,luna,C11,basis_relation,mapping_required,28,W_and_U,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,G,64,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,D,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,A,64,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,U,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,W,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,sonnet,C00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,G,64,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,D,64,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,U,0,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,W,64,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,G,26,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,D,24,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,A,2,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,U,28,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,W,46,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,mapping_required,28,G,2,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,mapping_required,28,D,0,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,mapping_required,28,A,2,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,mapping_required,28,U,26,verified_from_saved_artifacts
II,sonnet,C00,basis_relation,mapping_required,28,W_and_U,22,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,G,63,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,D,0,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,A,63,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,U,1,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,W,1,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,sonnet,C10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,G,62,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,D,62,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,U,2,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,W,62,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,G,49,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,D,49,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,U,9,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,W,49,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,mapping_required,28,G,24,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,mapping_required,28,D,24,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,mapping_required,28,A,0,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,mapping_required,28,U,4,verified_from_saved_artifacts
II,sonnet,C10,basis_relation,mapping_required,28,W_and_U,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,G,64,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,D,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,A,64,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,U,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,W,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,sonnet,C01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,G,64,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,D,64,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,U,0,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,W,64,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,G,28,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,D,26,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,A,2,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,U,28,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,W,46,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,mapping_required,28,G,2,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,mapping_required,28,D,0,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,mapping_required,28,A,2,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,mapping_required,28,U,26,verified_from_saved_artifacts
II,sonnet,C01,basis_relation,mapping_required,28,W_and_U,20,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,G,64,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,D,0,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,A,64,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,U,0,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,W,0,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,sonnet,C11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,G,63,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,D,63,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,U,1,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,W,63,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,G,52,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,D,52,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,U,7,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,W,52,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,mapping_required,28,G,25,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,mapping_required,28,D,25,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,mapping_required,28,A,0,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,mapping_required,28,U,3,verified_from_saved_artifacts
II,sonnet,C11,basis_relation,mapping_required,28,W_and_U,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,G,64,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,D,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,A,64,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,U,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,W,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,comparator,C00,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,G,64,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,D,64,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,A,0,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,U,0,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,W,64,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C00,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,G,64,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,D,36,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,A,28,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,U,0,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,W,36,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,comparator,C00,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,G,64,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,D,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,A,64,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,U,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,W,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,comparator,C10,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,G,64,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,D,64,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,A,0,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,U,0,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,W,64,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C10,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,G,64,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,D,64,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,U,0,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,W,64,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C10,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,G,64,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,D,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,A,64,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,U,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,W,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,comparator,C01,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,G,64,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,D,64,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,A,0,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,U,0,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,W,64,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C01,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,G,64,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,D,36,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,A,28,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,U,0,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,W,36,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,answerable,36,verified_from_saved_artifacts
II,comparator,C01,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,G,64,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,D,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,A,64,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,U,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,W,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,answerable,0,verified_from_saved_artifacts
II,comparator,C11,user_literal,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,G,64,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,D,64,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,A,0,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,U,0,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,W,64,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C11,prior_external,all,64,invalid,0,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,G,64,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,D,64,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,A,0,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,U,0,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,U_unknown,0,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,W,64,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,answerable,64,verified_from_saved_artifacts
II,comparator,C11,basis_relation,all,64,invalid,0,verified_from_saved_artifacts
